,label,landmark,x,y,z
0,1,1,22.388633965343825,-13.325831718518174,-3.4204407646390043
1,1,2,27.522443339709987,-14.63983208006658,-12.58931362774895
2,1,3,28.812126639559168,-15.087927432307126,-7.185568707591211
3,1,4,18.721079576398626,-15.813780639632643,-10.999869138251928
4,1,5,23.376692192570314,-14.784378507525654,-9.214240467130042
5,1,9,24.15602924755338,-11.805372648785898,-5.402956248161827
6,1,11,27.392534836422467,-12.520800876536065,-9.161029929981481
7,1,12,18.844588835082202,-12.460533846047616,-8.667914115977268
8,1,13,21.284859844218964,-13.446809800627754,-13.19985552142466
9,2,1,14.408707947711983,-11.252711826124184,5.807645719365641
10,2,2,20.69878981578883,-13.55186836389957,-3.0261886601552757
11,2,3,20.631061142242338,-13.687928400738425,3.712847800206667
12,2,4,11.203368663440639,-15.050302125242135,-1.470410652441728
13,2,5,15.571919629663574,-13.370844085508118,-0.11601235515217373
14,2,9,15.650897205076488,-10.347900329574282,4.206527602389844
15,2,10,19.31764059660928,-10.700507188055768,1.3153527251725912
16,2,11,19.7192053324778,-12.089781220058137,-2.270687011826115
17,2,12,10.636750198710388,-11.300207106094444,1.1656714844383753
18,2,13,13.928681959559214,-12.27905649730083,-3.9428860951967613
19,3,1,6.86405616118351,-10.456814109359406,10.40855971665972
20,3,2,13.919982925206742,-11.01806096013232,8.273117210831284
21,3,3,11.969830706893427,-10.724337539218949,11.558295022909125
22,3,4,8.607014851987092,-12.373011679835239,4.1655899835689745
23,3,5,9.29696932024141,-10.735860081980233,6.828662040695003
24,3,7,9.904982292306824,-8.224681823053611,9.184188692588734
25,3,12,6.572964676758852,-11.35428042893901,6.728368813703227
26,3,13,9.386670462305363,-10.86735729458227,4.450102783418261
27,4,1,5.528376554352306,-6.794716103788186,17.20810477958308
28,4,2,9.262707041484244,-8.820922485763775,11.467077015095777
29,4,3,9.885708485242471,-8.62530463316278,16.903742039611004
30,4,4,3.5937354166969313,-10.10561758789327,11.877789792429505
31,4,5,5.494464314007042,-8.056233762355678,12.968744261320776
32,4,7,7.146472586572779,-5.015891283476907,14.816236765884469
33,4,8,4.509997450324189,-8.663577868147456,11.256685626057616
34,5,1,1.2966981600249203,-4.898269330950028,23.865213336271065
35,5,2,6.066484912095134,-5.291934144711379,18.271865033184326
36,5,3,6.159380837527449,-6.716902715965816,23.691409873344615
37,5,4,1.1217816566207401,-7.572014086795067,19.620664737213605
38,5,6,3.421464217464772,-2.2734937394927117,22.229417658182403
39,6,1,-1.3099879877574478,-2.3693877757161435,23.60614945219735
40,6,2,3.249439722524226,-5.840917004252619,25.58653624921414
41,6,3,-0.688157259315993,-6.085119746990175,26.40612748325827
42,6,4,-0.2515629551343548,-8.079539118030894,22.063442697716102
43,6,6,1.308235319008734,-2.875406001685743,24.94499061034671
44,7,1,-7.491745270960671,0.1572026731673636,23.072710301324086
45,7,2,-3.1191447912084684,-1.6796618660418372,25.8673703970415
46,7,3,-7.270389554186678,-3.533465911937633,26.32545392764099
47,7,4,-6.140773125122798,-6.156325933792441,22.431794051084804
48,7,6,-5.345859703851832,-0.24755596690153403,24.96231653201365
49,8,1,-8.612849585146103,-0.4126365199520226,23.46178570009908
50,8,2,-14.16314906907048,-0.09296751382981461,22.874368980321933
51,8,3,-12.02744176292958,-2.5801580070660846,25.301688143520902
52,8,4,-12.028701795172767,-5.235582314758617,21.72847257528918
53,8,6,-11.322154251360603,0.48515131721774757,23.40409801837515
54,9,1,-15.525229266964978,0.36110456732750273,23.37143476778086
55,9,2,-20.932626273417366,-1.6895588092112157,20.821299519269
56,9,3,-18.967646596986086,-3.198746298012345,24.24053572703309
57,9,4,-16.78815129509687,-4.575126606519132,20.270678515195332
58,9,6,-18.34552820764654,0.3382008992421991,23.064631822429295
59,10,1,-18.917106220157002,-2.9804056841836486,18.85416854244466
60,10,2,-24.965451304292724,-4.0049340993201845,15.16603869485812
61,10,3,-23.41476544692052,-3.879479449721586,19.38634453490908
62,10,4,-20.348108806750933,-6.288815352366369,14.839655709345795
63,10,6,-22.624633763670655,-0.9858595870602088,16.48139786601927
64,11,1,-21.263706057188596,-5.125962285802012,14.54279044287831
65,11,2,-24.786433732776256,-6.446450737076512,8.13950858349481
66,11,3,-25.158573203543718,-5.129839492030895,12.877175897076409
67,11,4,-19.15676965192335,-8.269173002998834,9.002655644142008
68,11,5,-21.158617142709186,-6.008916463622639,10.049126601116422
69,11,7,-22.509510151660564,-2.9471575228801985,10.600968710279469
70,11,8,-19.369145354122118,-7.464883177564465,8.798381249485692
71,12,1,-23.76029879699999,-7.601176546401383,5.066896727799718
72,12,2,-26.069834753439473,-8.484287924096797,-1.1137053031774797
73,12,3,-27.452272332014964,-7.791834858374767,3.938003218954001
74,12,4,-21.247309922006785,-11.347311865786427,0.3231770755575477
75,12,5,-23.009633279308456,-8.972245538811931,1.3086716498728816
76,12,7,-24.02186871407169,-6.130345811477423,2.8396142089932415
77,12,12,-21.067234291710772,-9.859525980519253,2.447230283466894
78,12,13,-22.67014214347088,-9.57442993124098,-0.6953088433345029
79,13,1,-27.587415584146697,-9.283430307509276,-1.8868325008165532
80,13,2,-29.98135802678666,-11.478379117551025,-12.928832992509996
81,13,3,-30.928898119617084,-8.7379248588685,-6.907716249414579
82,13,4,-22.53853717367376,-13.79214767010225,-9.450229092830497
83,13,5,-27.0560041308832,-11.397942938637241,-8.09608517203576
84,13,9,-28.479735111796096,-8.160746696391604,-5.045679658279321
85,13,10,-29.711527720322735,-8.420573784128113,-9.165747698495586
86,13,11,-29.394896534238594,-9.592436915522956,-11.884356472875183
87,13,12,-23.040348150049475,-9.840115109626188,-5.448250170335934
88,13,13,-23.463642677566153,-10.853858667725442,-11.080150884243956
89,14,1,-31.77686704964956,-10.875143429114503,-12.199122387243104
90,14,2,-34.77984985506681,-11.02622844496605,-21.249377592073593
91,14,3,-36.32753655767338,-11.310935532576055,-16.652592605210895
92,14,4,-26.37255208951023,-13.808623575345958,-17.341980782549044
93,14,5,-30.639922890104057,-12.150618808281896,-17.410274483304846
94,14,9,-32.90627343479939,-9.207562804276584,-14.555509899338668
95,14,11,-33.877936287398605,-9.316038484550022,-18.89771264399655
96,14,12,-27.162328273723467,-10.703028304831442,-14.27747758610664
97,14,13,-27.50077278742205,-11.02774456088883,-19.965330752070702
