,label,landmark,x,y,z
0,1,1,-34.8041478255473,-6.388456091494945,-12.777848393469975
1,1,2,-36.428111552144514,-5.564135132288583,-22.19650912704299
2,1,3,-37.425116144258645,-3.4084407659532725,-16.92305127015408
3,1,4,-28.646741443558398,-10.265535439578027,-19.696831088203098
4,1,5,-33.195365278408815,-7.676546998764879,-18.68560671867488
5,1,9,-36.50366438444453,-7.322096249927914,-14.784939928250633
6,1,11,-37.12470088925427,-7.328015405949873,-19.738819601801318
7,1,12,-30.89015968408644,-11.258326569858298,-17.726749337168073
8,1,13,-30.61071278285071,-10.505325310744979,-21.90750163730357
9,2,1,-30.98849024710372,-4.639294662693267,-2.655831155650963
10,2,2,-33.78700606050006,-6.221195020110799,-12.181249211232409
11,2,3,-34.24214262947993,-3.7948235992344053,-7.4036024844567025
12,2,4,-24.72016030157105,-7.961958080510265,-11.183398256256634
13,2,5,-29.974344634655804,-7.103853827628536,-8.760050261667654
14,2,9,-32.7071339072844,-6.471785046578842,-3.7221100389579127
15,2,11,-34.04936928385774,-7.516107638194462,-8.632298521804056
16,2,12,-26.95843278338676,-10.098177340814019,-7.6317986762247605
17,2,13,-28.231164429577085,-10.549147573836901,-12.12845196739443
18,3,1,-28.271585433473458,-3.8152482730047037,3.4656746623520474
19,3,2,-29.035964765102214,-5.272374294025389,-1.9250430624679495
20,3,3,-30.16682296479797,-4.418747203113687,1.2245740740095576
21,3,4,-21.615160887917938,-5.765595570688528,-3.869159489467051
22,3,5,-25.90175348420595,-5.78897274022803,-0.4200558980704986
23,3,7,-28.52476643148846,-6.420013109797078,1.4193258267702435
24,3,8,-23.492184374583225,-7.7837937974713975,-1.9085262990346692
25,4,1,-26.84976020191869,-2.178813320918791,10.717974794920647
26,4,2,-28.661191148731223,-4.865119817942606,4.700886574798254
27,4,3,-29.706053400220146,-1.7906354130887134,8.025869405700188
28,4,4,-19.738146142583485,-2.784165468889938,5.701889216352095
29,4,5,-24.817938383325703,-3.4407730826317215,6.863343579664958
30,4,7,-28.289502665693195,-5.668423691526037,9.124574893491676
31,4,8,-21.483843507259593,-5.485979697384398,8.17165772705263
32,5,1,-22.770250599304052,-0.4848283692981233,18.591967623917665
33,5,2,-26.322779395172546,-2.6947020172829133,11.838610255718843
34,5,3,-27.021969113167252,0.5300712180478838,16.050256995091296
35,5,4,-20.424546708534134,-1.5188624877138919,13.223575516802656
36,5,6,-25.71376901803584,-2.937272547977406,18.359227036089603
37,6,1,-19.537852731286254,-0.9703299739530687,26.047687691691507
38,6,2,-22.864913905674094,-2.1006814114062347,19.90874016838641
39,6,3,-21.94863634218267,0.9670879737138494,22.720910359302742
40,6,4,-17.47215241990447,0.6822325439760288,19.65706207613475
41,6,6,-21.78371971044943,-2.310718467291318,24.01971329980147
