,label,landmark,x,y,z
0,1,1,24.517486572265625,-9.285602569580078,-7.770636558532715
1,1,2,26.19127105624237,-9.074109204024111,-17.11530235119484
2,1,3,28.37349165073271,-9.385767407220612,-11.746791212255202
3,1,4,19.827862877296184,-11.54224749109396,-13.26170146274004
4,1,5,23.243850049422633,-9.843144073968572,-12.81629173257345
5,1,9,25.58080613189122,-7.212046643895901,-11.127712833496165
6,1,11,25.485533671873416,-7.826909490487551,-15.457179472326974
7,1,12,20.370745685102833,-8.88074098645264,-10.163317165939707
8,1,13,20.70495374944471,-9.416342851147803,-15.40031439260772
9,2,1,23.74229621887207,-6.969152450561523,2.095302104949951
10,2,2,24.43000692231484,-8.854724071459126,-7.5731639490948535
11,2,3,27.113199346653612,-9.152163309069202,-2.2070224770613915
12,2,4,18.018763840250433,-9.228118821995535,-3.73517622720646
13,2,5,21.830310821533203,-8.614058494567871,-3.173016309738159
14,2,9,24.535058634028964,-6.076727141450666,-0.45174779809553145
15,2,10,24.848189584916444,-6.7870135764288,-3.8374618882307323
16,2,11,24.481344109534117,-7.912461627706928,-6.972504738277031
17,2,12,19.06364874682723,-6.0354305396846,-1.0151562835010395
18,2,13,19.886268535206383,-7.496082112140626,-6.312650104189585
19,3,1,19.520978927612305,-5.378846645355225,10.87118911743164
20,3,2,22.4183892560596,-6.907195645586607,2.3005657367771697
21,3,3,23.41433511966979,-7.267300933661575,8.19536607712923
22,3,4,16.319891346749525,-7.6249390140366495,4.243041891760429
23,3,5,19.203992834617367,-6.540239371268032,5.437728170426904
24,3,7,21.405989180366113,-4.909603234112637,5.56346898295336
25,3,12,16.08278257284612,-4.6334236141565945,6.88316176433478
26,3,13,17.6909783614077,-6.148923419812763,2.746478189237119
27,4,1,16.583730116441824,-4.468977952640084,17.041649722277395
28,4,2,19.251140594482422,-5.091403961181641,10.72813606262207
29,4,3,20.676116539564088,-5.5131911927236565,15.395901098207547
30,4,4,14.175787475641927,-5.228980542748435,11.845888586470423
31,4,5,16.673233032226562,-4.7841362953186035,12.758480072021484
32,4,7,18.11046819068236,-2.1596981011178973,14.460456350558148
33,4,8,15.446065488325202,-4.121440603910661,11.484323441051655
34,5,1,11.85489273071289,-3.3578338623046875,21.936819076538086
35,5,2,16.244534807147474,-4.090824345606088,17.23634973574075
36,5,3,15.230657598999247,-5.500623252946491,22.212439917316534
37,5,4,12.459506323704483,-4.955781395262888,18.190171398397137
38,5,6,14.731725019225792,-0.7423573622400432,20.50612066623557
39,6,1,6.476282119750977,-1.4021377563476562,23.353445053100586
40,6,2,11.785302110773664,-2.426302336237233,21.64571111291098
41,6,3,9.35760755325079,-3.7729207050983153,24.32059036253615
42,6,4,8.274786100082371,-4.66106031497056,20.652373479480787
43,6,6,9.546263694763184,-0.4696720242500305,22.77912712097168
44,7,1,1.5559737458665548,-1.2485390686274411,22.820471034157208
45,7,2,6.468677520751953,-1.3673133850097656,23.18941307067871
46,7,3,3.94652104364217,-3.3623568962588433,24.64667495971757
47,7,4,3.7818443841163805,-4.6984405313891155,21.15044322843302
48,7,6,3.8812542422152587,-0.6085424394188004,23.185712196739463
49,8,1,2.1144704818725586,-2.485964059829712,24.99659538269043
50,8,2,-2.8943281173706055,-1.405666470527649,24.394508361816406
